Date,Open,High,Low,Close,Adj Close,Volume
12/5/2016,12.93,12.98,12.9,12.93,9.242452,109500
12/6/2016,12.94,12.98,12.88,12.94,9.249598,101200
12/7/2016,12.91,13.1,12.87,13.08,9.349671,119500
12/8/2016,13.04,13.05,12.94,13,9.292482,115300
12/9/2016,12.99,13.19,12.97,13.17,9.414001,187800
12/12/2016,13.17,13.2,13.04,13.05,9.328222,175600
12/13/2016,13.06,13.09,12.99,13.05,9.328222,203500
12/14/2016,13,13.05,12.94,13.03,9.313931,154600
12/15/2016,13.04,13.15,12.96,13.05,9.328222,171200
12/16/2016,13.13,13.21,13.06,13.17,9.414001,173100
12/19/2016,13.2,13.24,13.12,13.12,9.378261,91400
12/20/2016,13.14,13.2,13.11,13.18,9.421151,99200
12/21/2016,13.09,13.1,13.04,13.08,9.412517,81900
12/22/2016,13.08,13.09,12.99,13.08,9.412517,92100
12/23/2016,13.04,13.08,12.97,13,9.354944,86100
12/27/2016,12.97,13.1,12.92,12.92,9.297375,244800
12/28/2016,12.92,12.94,12.8,12.8,9.211027,171100
12/29/2016,12.8,12.85,12.77,12.81,9.21822,212100
12/30/2016,12.85,12.86,12.76,12.8,9.211027,270700
1/3/2017,12.87,12.89,12.76,12.88,9.268594,151500
1/4/2017,12.93,13.07,12.93,13.07,9.405316,139700
1/5/2017,12.93,13.02,12.93,13.02,9.369336,236500
1/6/2017,13.02,13.12,12.95,13.12,9.441298,144100
1/9/2017,13.15,13.2,13.12,13.2,9.498867,89600
1/10/2017,13.2,13.25,13.17,13.25,9.534847,88200
1/11/2017,13.25,13.27,13.17,13.27,9.54924,206800
1/12/2017,13.23,13.27,13.11,13.24,9.527652,163500
1/13/2017,13.24,13.27,13.17,13.23,9.520457,129700
1/17/2017,13.17,13.23,13.16,13.18,9.484477,171700
1/18/2017,13.16,13.22,13.16,13.22,9.513262,125200
1/19/2017,13.2,13.26,13.14,13.18,9.484477,104200
1/20/2017,13.13,13.17,13.1,13.15,9.526494,92200
1/23/2017,13.17,13.2,13.14,13.15,9.526494,96100
1/24/2017,13.15,13.28,13.15,13.26,9.606182,121900
1/25/2017,13.3,13.39,13.29,13.34,9.664135,151600
1/26/2017,13.37,13.4,13.32,13.34,9.664135,136100
1/27/2017,13.39,13.39,13.32,13.35,9.671381,81600
1/30/2017,13.3,13.36,13.25,13.36,9.678629,78900
1/31/2017,13.3,13.33,13.26,13.31,9.642405,111400
2/1/2017,13.35,13.4,13.34,13.38,9.693117,61800
2/2/2017,13.37,13.39,13.34,13.38,9.693117,98900
2/3/2017,13.38,13.49,13.38,13.45,9.743827,116600
2/6/2017,13.43,13.45,13.4,13.43,9.729343,61500
2/7/2017,13.44,13.45,13.38,13.4,9.707603,127900
2/8/2017,13.41,13.46,13.39,13.4,9.707603,178100
2/9/2017,13.4,13.49,13.4,13.45,9.743827,104900
2/10/2017,13.51,13.51,13.47,13.5,9.780053,148900
2/13/2017,13.52,13.58,13.52,13.54,9.809029,124400
2/14/2017,13.53,13.59,13.49,13.58,9.838004,128700
2/15/2017,13.58,13.64,13.56,13.62,9.866985,221100
2/16/2017,13.53,13.61,13.45,13.49,9.836358,133800
2/17/2017,13.43,13.51,13.43,13.51,9.850944,117300
2/21/2017,13.53,13.65,13.52,13.6,9.916568,176100
2/22/2017,13.58,13.61,13.55,13.58,9.901985,88800
2/23/2017,13.62,13.65,13.57,13.63,9.938441,126100
2/24/2017,13.6,13.61,13.53,13.59,9.909277,144800
2/27/2017,13.62,13.65,13.59,13.65,9.953023,97300
2/28/2017,13.63,13.65,13.59,13.59,9.909277,126800
3/1/2017,13.7,13.78,13.67,13.7,9.989478,166900
3/2/2017,13.66,13.7,13.62,13.62,9.931149,141500
3/3/2017,13.58,13.7,13.58,13.66,9.960313,111800
3/6/2017,13.61,13.63,13.6,13.62,9.931149,74200
3/7/2017,13.63,13.65,13.57,13.62,9.931149,88600
3/8/2017,13.59,13.62,13.49,13.49,9.836358,92200
3/9/2017,13.51,13.55,13.44,13.49,9.836358,117900
3/10/2017,13.53,13.59,13.51,13.54,9.872817,135700
3/13/2017,13.57,13.6,13.51,13.54,9.872817,89600
3/14/2017,13.53,13.53,13.45,13.48,9.829067,61000
3/15/2017,13.53,13.65,13.53,13.65,9.953023,110700
3/16/2017,13.63,13.65,13.54,13.6,9.916568,126000
3/17/2017,13.6,13.63,13.58,13.61,9.923857,78600
3/20/2017,13.64,13.64,13.53,13.56,9.887402,151300
3/21/2017,13.58,13.65,13.46,13.49,9.836358,142400
3/22/2017,13.36,13.42,13.35,13.36,9.805531,108000
3/23/2017,13.39,13.48,13.37,13.44,9.864248,95600
3/24/2017,13.44,13.52,13.37,13.41,9.84223,146400
3/27/2017,13.33,13.4,13.29,13.4,9.83489,100400
3/28/2017,13.37,13.58,13.37,13.56,9.952323,139200
3/29/2017,13.61,13.61,13.53,13.59,9.974342,167100
3/30/2017,13.62,13.67,13.6,13.63,10.003698,164200
3/31/2017,13.66,13.67,13.51,13.51,9.915626,364300
4/3/2017,13.54,13.6,13.48,13.53,9.930305,162100
4/4/2017,13.46,13.55,13.44,13.54,9.937642,135700
4/5/2017,13.51,13.62,13.51,13.53,9.930305,181600
4/6/2017,13.55,13.59,13.52,13.56,9.952323,112900
4/7/2017,13.55,13.62,13.55,13.61,9.989016,107300
4/10/2017,13.62,13.7,13.62,13.69,10.047738,134400
4/11/2017,13.7,13.72,13.62,13.72,10.069757,131500
4/12/2017,13.69,13.72,13.65,13.7,10.055074,145500
4/13/2017,13.71,13.72,13.65,13.67,10.03306,156100
4/17/2017,13.73,13.75,13.65,13.75,10.091773,110400
4/18/2017,13.75,13.79,13.7,13.78,10.113791,149200
4/19/2017,13.74,13.75,13.66,13.7,10.119699,162900
4/20/2017,13.74,13.78,13.72,13.78,10.178795,110900
4/21/2017,13.79,13.85,13.76,13.83,10.215728,164700
4/24/2017,13.9,13.96,13.84,13.87,10.245275,127100
4/25/2017,13.9,14.01,13.9,14.01,10.348687,176700
4/26/2017,14.01,14.04,13.97,14.01,10.348687,94800
4/27/2017,13.99,14.04,13.98,14.01,10.348687,97400
4/28/2017,14.07,14.16,14.04,14.16,10.459485,191300
5/1/2017,14.2,14.3,14.17,14.26,10.533352,104900
5/2/2017,14.29,14.29,14.22,14.25,10.525965,109800
5/3/2017,14.23,14.29,14.18,14.29,10.555513,99100
5/4/2017,14.32,14.33,14.24,14.29,10.555513,117200
5/5/2017,14.32,14.32,14.26,14.32,10.57767,86900
5/8/2017,14.34,14.35,14.29,14.35,10.599834,77800
5/9/2017,14.35,14.39,14.33,14.37,10.614605,116800
