Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,12/2/2016,757.544983,781.296021,757.544983,777.94397,777.94397,127605000
BTC,12/3/2016,778.247986,778.247986,764.856018,771.155029,771.155029,69547296
BTC,12/4/2016,771.638,773.872009,768.161011,773.872009,773.872009,60557900
BTC,12/5/2016,773.393982,773.468018,751.713013,758.700012,758.700012,106363000
BTC,12/6/2016,758.719971,765.622009,758.719971,764.223999,764.223999,116218000
BTC,12/7/2016,764.210999,771.54303,759.75,768.132019,768.132019,96426096
BTC,12/8/2016,768.075989,774.697998,765.945984,770.809998,770.809998,80111904
BTC,12/9/2016,769.94397,774.528015,769.648987,772.794006,772.794006,68705296
BTC,12/10/2016,773.02301,777.09198,772.909973,774.650024,774.650024,53843100
BTC,12/11/2016,774.752014,774.797974,765.411987,769.731018,769.731018,57313400
BTC,12/12/2016,770.039978,781.921997,770.039978,780.086975,780.086975,76571000
BTC,12/13/2016,780.646973,788.460022,777.961975,780.55603,780.55603,81645600
BTC,12/14/2016,780.005005,782.033997,776.838989,781.481018,781.481018,75979000
BTC,12/15/2016,780.070007,781.434998,777.802002,778.088013,778.088013,81580096
BTC,12/16/2016,778.963013,785.031982,778.963013,784.906982,784.906982,83608200
BTC,12/17/2016,785.166016,792.508972,784.864014,790.828979,790.828979,78989800
BTC,12/18/2016,791.007996,794.737,788.026001,790.530029,790.530029,60524400
BTC,12/19/2016,790.692017,793.611023,790.320007,792.713989,792.713989,74886400
BTC,12/20/2016,792.247009,801.336975,791.497009,800.875977,800.875977,99629296
BTC,12/21/2016,800.643982,834.281006,799.405029,834.281006,834.281006,155576000
BTC,12/22/2016,834.179993,875.781982,834.148987,864.539978,864.539978,200027008
BTC,12/23/2016,864.888,925.117004,864.677002,921.984009,921.984009,275564000
BTC,12/24/2016,922.179993,923.479004,886.335022,898.822021,898.822021,137727008
BTC,12/25/2016,899.651978,899.651978,862.424011,896.182983,896.182983,143664992
BTC,12/26/2016,896.905029,913.184021,896.89801,907.609985,907.609985,123771000
BTC,12/27/2016,908.354004,940.047974,904.255005,933.197998,933.197998,167308000
BTC,12/28/2016,934.830994,975.921021,934.830994,975.921021,975.921021,236630000
BTC,12/29/2016,975.125,979.396973,954.502991,973.497009,973.497009,199320000
BTC,12/30/2016,972.534973,972.534973,934.833008,961.237976,961.237976,187474000
BTC,12/31/2016,960.627014,963.742981,947.236023,963.742981,963.742981,99135104
BTC,1/1/2017,963.65802,1003.080017,958.698975,998.325012,998.325012,147775008
BTC,1/2/2017,998.617004,1031.390015,996.702026,1021.75,1021.75,222184992
BTC,1/3/2017,1021.599976,1044.079956,1021.599976,1043.839966,1043.839966,185168000
BTC,1/4/2017,1044.400024,1159.420044,1044.400024,1154.72998,1154.72998,344945984
BTC,1/5/2017,1156.72998,1191.099976,910.416992,1013.380005,1013.380005,510199008
BTC,1/6/2017,1014.23999,1046.810059,883.94397,902.200989,902.200989,351876000
BTC,1/7/2017,903.487,908.585022,823.55603,908.585022,908.585022,279550016
BTC,1/8/2017,908.174988,942.723999,887.249023,911.198975,911.198975,158715008
BTC,1/9/2017,913.244019,913.685974,879.807007,902.828003,902.828003,141876992
